---------------------------------------------------------------------------------
| debug/                                                           |            |
|    ep_len_mean                                                   | 7.3e+03    |
|    ep_rew_mean                                                   | 0.709      |
|    policy_entropy                                                | -0.319     |
|    raw_reward_mean_in_fraction                                   | 0.000634   |
|    reward_gt_log10_fraction                                      | 0          |
| time/                                                            |            |
|    fps                                                           | 266        |
|    iterations                                                    | 33         |
|    time_elapsed                                                  | 507        |
|    total_timesteps                                               | 135168     |
| train/                                                           |            |
|    actual_batch_size                                             | 64         |
|    adv_mean                                                      | -0.00496   |
|    adv_std                                                       | 0.0129     |
|    adv_z_p10                                                     | -1.27      |
|    adv_z_p50                                                     | -0.0365    |
|    adv_z_p90                                                     | 1.37       |
|    approx_kl                                                     | 0.000998   |
|    approx_kl_ema                                                 | 0.000973   |
|    approx_kl_max                                                 | 0.00435    |
|    approx_kl_median                                              | 0.000738   |
|    approx_kl_p90                                                 | 0.00236    |
|    approx_kl_raw                                                 | 0.0462     |
|    clip_fraction                                                 | 0.0557     |
|    clip_fraction_batch                                           | 0.0938     |
|    clip_range                                                    | 0.0922     |
|    clip_range_schedule                                           | 0.0922     |
|    critic_gradient_blocked                                       | 0          |
|    critic_gradient_scale                                         | 1          |
|    cvar_cap                                                      | 0.79       |
|    cvar_empirical                                                | -0.0165    |
|    cvar_empirical_ema                                            | -0.0145    |
|    cvar_empirical_in_fraction                                    | -0.0165    |
|    cvar_empirical_unit                                           | -0.0165    |
|    cvar_gap                                                      | -0.00354   |
|    cvar_gap_in_fraction                                          | -0.00354   |
|    cvar_gap_pos                                                  | 0          |
|    cvar_gap_unit                                                 | -0.00354   |
|    cvar_lambda                                                   | 0          |
|    cvar_limit_unit                                               | -0.02      |
|    cvar_loss                                                     | 0.00845    |
|    cvar_loss_in_fraction                                         | 0.00845    |
|    cvar_loss_unit                                                | 0.00845    |
|    cvar_penalty_active                                           | 0          |
|    cvar_penalty_cap                                              | 0.7        |
|    cvar_raw                                                      | -0.00845   |
|    cvar_raw_in_fraction                                          | -0.00845   |
|    cvar_scale                                                    | 1          |
|    cvar_term                                                     | 0          |
|    cvar_term_in_fraction                                         | 0          |
|    cvar_unit                                                     | -0.00845   |
|    cvar_violation                                                | 0          |
|    cvar_violation_ema                                            | 0.000402   |
|    cvar_violation_in_fraction                                    | 0          |
|    cvar_violation_unit                                           | 0          |
|    cvar_weight_effective                                         | 0          |
|    ent_coef                                                      | 5.5e-05    |
|    ent_coef_autoclamp                                            | 1          |
|    ent_coef_eff                                                  | 0.0005     |
|    ent_coef_final                                                | 5.5e-05    |
|    ent_coef_initial                                              | 0.0005     |
